T,damages,IAM
0,0,DICE
0.83,0.21,DICE
0.98,0.28,DICE
1.39,0.51,DICE
1.78,0.79,DICE
2.14,1.13,DICE
2.49,1.51,DICE
2.81,1.91,DICE
3.11,2.36,DICE
3.38,2.82,DICE
3.64,3.29,DICE
3.88,3.77,DICE
4.11,4.28,DICE
4.33,4.81,DICE
4.55,5.36,DICE
4.76,5.93,DICE
4.96,6.52,DICE
5.15,7.13,DICE
5.34,7.75,DICE
5.52,8.39,DICE
5.7,9.05,DICE
5.87,9.73,DICE
6.04,10.43,DICE
6.2,11.15,DICE
6.36,11.89,DICE
6.51,12.66,DICE
6.67,13.45,DICE
6.82,14.27,DICE
6.97,15.11,DICE
7.12,15.98,DICE
7.26,16.87,DICE
7.41,17.79,DICE
7.55,18.75,DICE
7.69,19.73,DICE
7.83,20.74,DICE
7.97,21.78,DICE
8.1,22.85,DICE
8.24,23.96,DICE
8.38,25.1,DICE
8.51,26.27,DICE
8.64,27.48,DICE
8.78,28.72,DICE
8.91,29.99,DICE
9.04,31.3,DICE
9.17,32.65,DICE
9.3,34.03,DICE
9.44,35.45,DICE
9.56,36.91,DICE
9.7,38.4,DICE
9.82,39.93,DICE
9.96,41.51,DICE
10.09,43.12,DICE
10.21,44.77,DICE
10.34,46.46,DICE
10.47,48.19,DICE
10.6,49.96,DICE
10.73,51.78,DICE
10.86,53.64,DICE
10.99,55.53,DICE
11.12,57.48,DICE
11.25,59.46,DICE
0,0,FUND
0.9,-0.17,FUND
1.3,-0.21,FUND
1.7,-0.14,FUND
2.1,-0.02,FUND
2.5,0.14,FUND
2.9,0.34,FUND
3.3,0.57,FUND
3.7,0.83,FUND
4.1,1.12,FUND
4.5,1.42,FUND
4.9,1.72,FUND
5.3,2.03,FUND
5.7,2.34,FUND
6.1,2.63,FUND
6.5,2.91,FUND
6.9,3.15,FUND
7.3,3.32,FUND
7.7,3.4,FUND
8.1,3.4,FUND
8.5,3.21,FUND
0,0,PAGE
0.5,0.16,PAGE
1,0.11,PAGE
1.5,0.16,PAGE
2,0.35,PAGE
2.5,0.64,PAGE
3,1.09,PAGE
3.5,1.83,PAGE
4,2.75,PAGE
4.5,3.94,PAGE
5,5.25,PAGE
5.5,6.74,PAGE
6,8.34,PAGE
6.5,10,PAGE
7,11.9,PAGE
7.5,13.62,PAGE
8,15.59,PAGE
8.5,17.41,PAGE
9,19.85,PAGE
9.5,21.94,PAGE
10,23.73,PAGE
10.5,25.8,PAGE
11,29.34,PAGE
11.5,26.68,PAGE
12,31.72,PAGE
12.5,26.15,PAGE
13,37.09,PAGE
0,0,CRED
0.5,0.12,CRED
1,0.47,CRED
1.5,1.06,CRED
2,1.88,CRED
2.5,2.96,CRED
3,4.39,CRED
3.5,6.33,CRED
4,9.06,CRED
4.5,12.93,CRED
5,18.19,CRED
5.5,24.73,CRED
6,31.97,CRED
6.5,39.08,CRED
7,45.33,CRED
0,0,ENVISAGE
0.8,0,ENVISAGE
1.4,0.14,ENVISAGE
1.9,0.61,ENVISAGE
2.3,0.9,ENVISAGE
2.7,1.29,ENVISAGE
3.2,1.83,ENVISAGE
3.6,2.06,ENVISAGE
4.1,2.42,ENVISAGE
4.6,2.97,ENVISAGE
5.1,3.69,ENVISAGE
5.6,4.58,ENVISAGE
